1770329266.190496,50378,0,0
1770329266.310740,50378,0,0
1770329266.430059,50378,0,0
1770329266.549270,50378,0,0
1770329266.667895,50378,0,0
1770329266.790809,50378,0,0
1770329266.910140,50378,0,0
1770329267.030353,50378,0,0
1770329267.151006,50378,0,0
1770329267.270388,50378,0,0
1770329267.390356,50378,0,0
1770329267.509829,50378,9150,4
1770329267.631931,50378,549582,202
1770329267.752013,50378,669188,295
1770329267.871452,50378,722178,324
1770329267.994213,50378,708552,278
1770329268.114946,50378,853896,382
1770329268.234961,50378,943222,412
1770329268.358222,50379,993184,444
1770329268.480978,50397,961390,453
1770329268.601083,50397,823616,372
1770329268.724421,50397,800906,318
1770329268.847903,50397,819074,323
1770329268.969418,50397,855410,336
1770329269.092455,50397,876606,345
1770329269.214483,50397,900830,356
1770329269.334609,50397,923540,360
1770329269.455168,50397,962904,371
1770329269.575056,50397,979558,374
1770329269.696789,50400,964000,375
1770329269.816219,50407,861466,310
1770329269.937966,50407,694926,273
1770329270.060584,50407,673730,270
1770329270.184222,50407,694926,276
1770329270.303882,50407,725206,287
1770329270.427964,50407,723692,284
1770329270.549103,50407,734290,263
1770329270.670574,50407,749430,272
1770329270.793488,50407,758514,266
1770329270.914262,50407,770626,279
1770329271.034671,50407,782738,273
1770329271.154661,50407,791822,281
1770329271.274348,50407,788794,274
1770329271.398846,50407,796364,262
1770329271.520470,50407,799392,302
1770329271.643092,50407,800906,294
1770329271.764468,50407,791000,321
1770329271.884637,50407,811504,278
1770329272.006256,50407,817560,302
1770329272.132193,50407,806962,273
1770329272.254935,50407,819074,301
1770329272.374606,50407,832700,310
1770329272.496531,50407,829672,303
1770329272.616062,50407,840440,309
1770329272.736683,50407,843298,291
1770329272.857699,50407,846326,315
1770329272.980090,50407,846326,334
1770329273.102698,50407,855410,294
1770329273.223426,50407,847840,302
1770329273.347144,50407,852382,319
1770329273.470627,50407,853896,313
1770329273.590115,50407,850868,308
1770329273.711221,50407,856924,294
1770329273.832135,50407,856924,317
1770329273.954016,50407,872064,334
1770329274.074152,50407,867522,304
1770329274.195724,50407,861466,325
1770329274.315809,50407,873578,341
1770329274.438638,50407,870550,305
1770329274.559790,50407,866008,314
1770329274.682202,50407,879634,345
1770329274.802309,50407,878120,306
1770329274.922457,50407,878120,321
1770329275.045962,50407,875092,338
1770329275.168676,50407,884176,303
1770329275.291598,50407,893260,319
1770329275.414077,50407,888718,333
1770329275.534104,50407,890232,308
1770329275.655096,50407,888718,322
1770329275.778820,50407,900830,354
1770329275.901867,50407,905542,318
1770329276.024110,50407,911598,341
1770329276.150379,50407,908400,351
1770329276.272825,50407,914456,319
1770329276.392362,50407,909914,344
1770329276.512533,50407,916012,352
1770329276.636159,50407,923540,326
1770329276.756020,50407,925054,348
1770329276.876629,50407,928082,335
1770329277.000327,50407,929596,350
1770329277.123938,50407,934138,326
1770329277.245413,50407,931110,347
1770329277.367631,50407,938680,368
1770329277.488955,50407,856924,387
1770329277.609845,50407,779710,333
1770329277.733031,50407,794850,384
1770329277.855004,50407,959876,402
1770329277.978300,50424,990156,439
1770329278.101832,50426,776682,374
1770329278.226276,50426,784252,370
1770329278.347013,50426,856924,444
1770329278.467672,50426,925054,444
1770329278.588553,50434,996212,486
1770329278.708619,50441,914456,447
1770329278.834210,50441,766084,375
1770329278.955719,50441,764570,358
1770329279.076025,50441,784252,395
1770329279.196891,50441,843298,399
1770329279.316657,50441,964418,492
1770329279.437620,50441,932624,461
1770329279.557891,50445,997726,467
1770329279.678286,50462,965932,461
1770329279.803836,50462,837242,435
1770329279.924185,50462,846496,413
1770329280.044998,50462,981072,469
1770329280.169227,50462,925054,476
1770329280.290757,50470,991670,498
1770329280.412009,50486,964000,486
1770329280.532540,50486,905542,458
1770329280.652755,50486,947764,484
1770329280.773176,50486,897802,457
1770329280.895195,50489,990156,490
1770329281.019335,50512,964000,491
1770329281.140252,50512,899316,468
1770329281.262130,50512,882662,436
1770329281.383053,50512,862980,429
1770329281.505938,50512,967446,493
1770329281.627388,50540,991670,501
1770329281.748106,50547,911546,459
1770329281.868761,50547,949278,464
1770329281.990482,50547,941708,490
1770329282.113541,50560,994698,500
1770329282.234138,50603,981072,492
1770329282.358832,50603,979558,487
1770329282.479440,50641,994698,505
1770329282.603900,50654,879634,455
1770329282.725531,50654,917484,457
1770329282.845933,50668,997726,500
1770329282.968760,50695,979558,497
1770329283.092828,50717,997726,511
1770329283.214354,50766,905372,466
1770329283.338474,50766,896288,455
1770329283.459548,50766,973502,494
1770329283.580130,50804,991670,507
1770329283.701239,50814,994698,510
1770329283.821825,50904,982586,490
1770329283.944074,50904,887204,446
1770329284.064678,50918,994698,499
1770329284.184410,50974,993184,510
1770329284.304598,51001,999240,506
1770329284.429573,51098,996212,490
1770329284.548965,51108,964000,520
1770329284.668100,51194,993184,498
1770329284.787340,51262,991670,508
1770329284.906312,51351,993184,511
1770329285.026556,51480,994698,518
1770329285.147069,51526,928082,489
1770329285.266247,51574,993184,511
1770329285.387051,51667,997726,517
1770329285.507366,51782,997726,513
1770329285.627165,51934,999240,524
1770329285.746608,52121,997726,501
1770329285.869169,52210,996212,532
1770329285.988171,52326,996212,513
1770329286.107619,52475,996212,518
1770329286.230738,52603,994698,530
1770329286.351995,52748,994698,535
1770329286.472548,52831,996212,524
1770329286.596772,52945,993184,521
1770329286.721029,53054,997726,534
1770329286.843441,53163,991670,557
1770329286.964517,53289,997726,589
1770329287.089269,53382,994868,574
1770329287.213418,53518,993184,585
