1771160103.577690,13123646,0,0
1771160103.696933,13123646,0,0
1771160103.815084,13123646,0,0
1771160103.933484,13123646,0,0
1771160104.051942,13123646,0,0
1771160104.170302,13123646,0,0
1771160104.288816,13123646,0,0
1771160104.406829,13123646,0,0
1771160104.525065,13123646,0,0
1771160104.643376,13123646,0,0
1771160104.762035,13123646,0,0
1771160104.881252,13123646,0,0
1771160105.000418,13123646,763122,104
1771160105.121931,13123646,937166,206
1771160105.244940,13123652,988642,190
1771160105.365151,13123655,776682,206
1771160105.485405,13123655,720874,207
1771160105.605065,13123655,738832,198
1771160105.725083,13123655,797878,223
1771160105.845542,13123655,825130,230
1771160105.965233,13123655,822102,229
1771160106.084954,13123655,855410,234
1771160106.205640,13123655,896288,252
1771160106.326805,13123655,906886,251
1771160106.446899,13123655,920722,258
1771160106.566259,13123655,943222,262
1771160106.689930,13123655,931110,253
1771160106.813158,13123655,934138,256
1771160106.933497,13123655,961390,263
1771160107.055735,13123655,967446,267
1771160107.178601,13123655,971988,265
1771160107.301678,13123655,978044,266
1771160107.421510,13123655,984100,267
1771160107.542019,13123657,984100,269
1771160107.661962,13123658,852382,242
1771160107.781572,13123658,682814,214
1771160107.900733,13123658,669188,187
1771160108.020428,13123658,694926,194
1771160108.141668,13123658,719150,203
1771160108.261087,13123658,723000,210
1771160108.381702,13123658,767598,219
1771160108.501585,13123658,757000,221
1771160108.623378,13123658,773654,216
1771160108.744233,13123658,791822,227
1771160108.866124,13123658,793336,225
1771160108.989936,13123658,799392,227
1771160109.109707,13123658,814532,230
1771160109.230383,13123658,806962,226
1771160109.354061,13123658,823616,235
1771160109.478472,13123658,816256,232
1771160109.601467,13123658,826644,233
1771160109.720573,13123658,837242,238
1771160109.840577,13123658,840270,237
1771160109.965692,13123658,847840,314
1771160110.087154,13123658,853896,316
1771160110.209606,13123658,853896,302
1771160110.329138,13123658,866008,292
1771160110.448194,13123658,849564,325
1771160110.570876,13123658,850868,306
1771160110.694708,13123658,850868,290
1771160110.818378,13123658,850868,311
1771160110.941710,13123658,856924,309
1771160111.061602,13123658,859952,313
1771160111.181709,13123658,862980,301
1771160111.301969,13123658,859952,301
1771160111.425727,13123658,850868,322
1771160111.545684,13123658,859952,305
1771160111.665376,13123658,850868,286
1771160111.786180,13123658,850868,327
1771160111.907296,13123658,859952,303
1771160112.029203,13123658,856924,294
1771160112.150745,13123658,856924,330
1771160112.275197,13123658,866008,317
1771160112.393662,13123658,852382,286
1771160112.513414,13123658,861466,329
1771160112.633346,13123658,825000,316
1771160112.753002,13123658,849354,287
1771160112.873049,13123658,858648,313
1771160112.993917,13123658,847840,308
1771160113.113685,13123658,856924,296
1771160113.234253,13123658,856924,299
1771160113.354089,13123658,862980,302
1771160113.473548,13123658,855410,335
1771160113.592201,13123658,852382,372
1771160113.711369,13123658,855410,371
1771160113.831253,13123658,852382,371
1771160113.953900,13123658,843298,365
1771160114.076756,13123658,861466,375
1771160114.198437,13123658,861466,375
1771160114.324304,13123658,864494,377
1771160114.447931,13123658,864494,376
1771160114.570958,13123658,864494,374
1771160114.696081,13123658,861466,375
1771160114.817584,13123658,847840,371
1771160114.936778,13123658,679786,302
1771160115.058464,13123658,631338,214
1771160115.181816,13123658,749430,263
1771160115.304977,13123658,891746,336
1771160115.424553,13123658,914456,398
1771160115.545653,13123658,956848,416
1771160115.667682,13123658,956848,415
1771160115.791351,13123660,990156,430
1771160115.913402,13123669,918998,402
1771160116.033105,13123669,707038,283
1771160116.154359,13123669,741860,348
1771160116.277638,13123669,837242,401
1771160116.396917,13123669,858438,482
1771160116.516986,13123669,917484,514
1771160116.641617,13123669,964418,536
1771160116.760515,13123677,990156,549
1771160116.881207,13123687,922026,458
1771160117.006051,13123687,738832,364
1771160117.130123,13123687,784252,419
1771160117.248770,13123687,840270,444
1771160117.368656,13123687,862980,453
1771160117.489512,13123687,943222,496
1771160117.609154,13123687,932624,489
1771160117.730298,13123696,999240,519
1771160117.848726,13123723,920512,473
1771160117.968784,13123723,838756,403
1771160118.088864,13123723,834214,421
1771160118.209454,13123723,864494,435
1771160118.331187,13123723,959876,476
1771160118.450413,13123727,985614,492
1771160118.570829,13123748,990156,485
1771160118.690609,13123748,837242,395
1771160118.811272,13123748,770626,370
1771160118.930079,13123748,788794,376
1771160119.055588,13123748,785766,377
1771160119.180890,13123748,917484,436
1771160119.302503,13123748,902344,430
1771160119.427046,13123762,999240,508
1771160119.546119,13123808,946250,479
1771160119.669931,13123808,938680,465
1771160119.797731,13123829,982586,490
1771160119.921060,13123829,912942,448
1771160120.040553,13123841,994698,485
1771160120.161070,13123856,979558,486
1771160120.280045,13123878,997726,485
1771160120.400135,13123904,950792,466
1771160120.522802,13123904,912942,441
1771160120.647160,13123919,993184,480
1771160120.770321,13123939,968960,476
1771160120.892535,13123993,964000,477
1771160121.014812,13124010,900830,437
1771160121.137312,13124016,991670,476
1771160121.260508,13124098,984100,477
1771160121.380558,13124107,993184,480
1771160121.500417,13124197,985824,478
1771160121.622249,13124197,953820,449
1771160121.746162,13124258,994698,479
1771160121.869776,13124286,976740,473
1771160121.994996,13124328,996212,481
1771160122.115395,13124367,988642,486
1771160122.240708,13124406,993184,479
1771160122.361612,13124493,996212,495
1771160122.482165,13124544,994698,490
1771160122.600808,13124660,999240,489
1771160122.720606,13124725,996212,494
1771160122.839364,13124734,930000,434
1771160122.958022,13124832,994698,492
1771160123.078396,13124850,997726,490
1771160123.199023,13124980,996212,490
1771160123.318107,13125017,993184,488
1771160123.437169,13125102,994698,494
1771160123.557374,13125223,991670,486
1771160123.678002,13125317,996212,497
1771160123.801638,13125466,991670,477
1771160123.921753,13125564,991670,483
1771160124.042089,13125680,997726,496
1771160124.165859,13125804,991670,498
1771160124.286193,13125913,994698,502
1771160124.406661,13126019,997726,468
1771160124.529800,13126091,993184,432
1771160124.657046,13126210,994698,447
1771160124.776446,13126307,991670,449
